run,name,wandb_id,leg,step,tokens,metric,value
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26113,24735374490.15119,eval/holdout_en_bpb,0.9688198418522779
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26622,25217521528.618122,eval/flores_ar_bpb,0.8515101152563193
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26622,25217521528.618122,eval/flores_en_bpb,1.179058208151698
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26622,25217521528.618122,eval/holdout_ar_bpb,0.7345034796754394
en-ar__unigram_destarved__100b-v6,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v6,,26622,25217521528.618122,eval/holdout_en_bpb,0.9817884621713826
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27131,25760144409.505676,eval/flores_ar_bpb,0.849945692161601
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27131,25760144409.505676,eval/flores_en_bpb,1.1757596471370497
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27131,25760144409.505676,eval/holdout_ar_bpb,0.7207295896625894
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27131,25760144409.505676,eval/holdout_en_bpb,0.9623568679299682
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27640,26243426024.795876,eval/flores_ar_bpb,0.8586011198166477
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27640,26243426024.795876,eval/flores_en_bpb,1.1589614593354274
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27640,26243426024.795876,eval/holdout_ar_bpb,0.7277089903269092
en-ar__unigram_destarved__100b-v7,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v7,,27640,26243426024.795876,eval/holdout_en_bpb,0.9789979942083346
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28149,26760609271.948826,eval/flores_ar_bpb,0.8545657452992127
